# gunzip -c exp_FG/DNN_tri_8_2000_aligned_layer3_nodes256/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Fri Mar 30 11:11:56 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 11.1111111111% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 14.1975308642% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 88.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.8,58) frames.
Overall, ei1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.1,20) frames.
Overall, en2_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (42,51.8,78) frames.
Overall, f_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,20.3,37) frames.
Overall, g_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,5) frames.
Overall, i3_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.4,30) frames.
Overall, i4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,25.3,33) frames.
Overall, ian2_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (39,38.3,46) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (58,49.8,58) frames.
Overall, l_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,15) frames.
Overall, m_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.6,19) frames.
Overall, ong2_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.7,25) frames.
Overall, sh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.4,17) frames.
Overall, u3_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,22.3,23) frames.
Overall, u4_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,10) frames.
Overall, ua1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,23.0,24) frames.
Overall, uang1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.0,25) frames.
Overall, z_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.9,34) frames.
Overall, er4_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,19.0,37) frames.
The optional-silence phone sil occupies 2.4% of frames overall 
Limiting the stats to the 83.2% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.1% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 3.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (5,5.8,11)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 30 11:11:56 CST 2018, elapsed time 0 seconds
